,Price,Address,Neighborhood,Bedrooms,Property_Type,Price_Scaled
238,1500000,phase 2 GRA Magodo Shangisha Kosofe Ikosi Lagos,Kosofe,3.0,Flat,-0.09673892722658721
239,1000000,Taodak Estate Ifako Ifako Gbagada Gbagada Lagos,Gbagada,3.0,Flat,-0.1415441965113108
240,84000,close to Fola Agoro Shomolu Shomolu Lagos,Shomolu,2.0,Unknown,-0.2236274498409245
241,900000,Ogudu GRA Ogudu Kosofe Kosofe Ikosi Lagos,Ogudu,2.0,Flat,-0.15050525036825554
242,1300000,Ogudu Ogudu Kosofe Kosofe Ikosi Lagos,Ogudu,3.0,Flat,-0.11466103494047665
243,1000000,Gbagada phase I Gbagada phase I Phase 1 Gbagada Lagos,Gbagada,3.0,Flat,-0.1415441965113108
244,500000,Onipanu Onipanu Ilupeju Lagos,Ilupeju,2.0,Flat,-0.18634946579603445
245,170000,Onipanu Onipanu Ilupeju Lagos,Ilupeju,3.0,Unknown,-0.21592094352395202
246,1500000,"Off Durosimi street, somolu Onipanu Shomolu Lagos",Shomolu,3.0,Duplex,-0.09673892722658721
247,1100000,Olaosebikan street Folagoro Shomolu Shomolu Lagos,Shomolu,3.0,Flat,-0.1325831426543661
248,300000,Onipanu Onipanu Ilupeju Lagos,Ilupeju,1.0,mini,-0.2042715735099239
249,3000000,"Hon. Ajayi Alaba street, Iroko Awe Ilasan Ikate Lekki Lagos",Lekki,4.0,Duplex,0.03767688062758365
250,1300000,Alagomeji Alagomeji Alagomeji Yaba Lagos,Yaba,3.0,Flat,-0.11466103494047665
251,1000000,Alagomeji Alagomeji Alagomeji Yaba Lagos,Yaba,3.0,Flat,-0.1415441965113108
252,750000,Yaba Yaba Sabo Yaba Lagos,Yaba,2.0,Flat,-0.16394683115367265
253,350000,Bashorun Estate Marjek frist gate Sangotedo Ajah Lagos,Sangotedo,1.0,mini,-0.19979104658145153
